"month","total_trades","unique_searcher_trades","multiple_searcher_trades","pool_trades","unique_searcher_ratio","multiple_searcher_ratio","pool_ratio"
"2023-09-01T00:00:00",24362,4312,156,19894,"0.176997","0.006403","0.816600"
"2023-10-01T00:00:00",34968,6063,419,28486,"0.173387","0.011982","0.814631"
"2023-11-01T00:00:00",46966,6859,516,39591,"0.146042","0.010987","0.842972"
"2023-12-01T00:00:00",57241,8124,573,48544,"0.141926","0.010010","0.848063"
"2024-01-01T00:00:00",58081,9118,549,48414,"0.156988","0.009452","0.833560"
"2024-02-01T00:00:00",51110,8677,383,42050,"0.169771","0.007494","0.822735"
"2024-03-01T00:00:00",63616,9066,416,54134,"0.142511","0.006539","0.850949"
"2024-04-01T00:00:00",58316,7671,377,50268,"0.131542","0.006465","0.861993"
"2024-05-01T00:00:00",61318,8805,604,51909,"0.143596","0.009850","0.846554"
"2024-06-01T00:00:00",63602,7953,421,55228,"0.125043","0.006619","0.868337"
"2024-07-01T00:00:00",67282,10558,672,56052,"0.156922","0.009988","0.833091"
"2024-08-01T00:00:00",76969,10756,1149,65064,"0.139745","0.014928","0.845327"